timestamp,left_encoder_count,left_encoder_speed,right_encoder_count,right_encoder_speed,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,imu_temp,mag_x,mag_y,mag_z,heading
2025-03-02T11:41:39.378016,92510,0.0,63211,0.0,-1.894,-0.041,10.314,-0.235,0.038,0.501,26.4,4867,9532,-5635,63.0
2025-03-02T11:41:39.477575,92510,0.0,63211,0.0,-1.913,-0.055,10.305,-0.231,0.037,0.501,26.4,4905,9537,-5650,62.8
2025-03-02T11:41:39.584611,92510,0.0,63211,0.0,-1.884,-0.074,10.324,-0.231,0.042,0.503,26.4,4932,9532,-5635,62.6
2025-03-02T11:41:39.705951,92510,0.0,63211,0.0,-1.896,-0.069,10.29,-0.232,0.039,0.498,26.4,4955,9517,-5675,62.5
2025-03-02T11:41:39.787478,92510,0.0,63211,0.0,-1.944,-0.05,10.211,-0.231,0.034,0.5,26.4,4942,9527,-5645,62.6
2025-03-02T11:41:39.890005,92510,0.0,63211,0.0,-1.978,-0.048,10.283,-0.23,0.041,0.503,26.3,4955,9502,-5670,62.5
2025-03-02T11:41:40.008211,92510,0.0,63211,0.0,-1.891,-0.053,10.226,-0.232,0.041,0.505,26.4,4932,9537,-5645,62.7
2025-03-02T11:41:40.115366,92510,0.0,63211,0.0,-1.894,-0.079,10.23,-0.232,0.037,0.505,26.3,4895,9542,-5587,62.8
2025-03-02T11:41:40.226151,92510,0.0,63211,0.0,-1.913,-0.069,10.269,-0.236,0.041,0.502,26.4,4955,9557,-5645,62.6
2025-03-02T11:41:40.296496,92510,0.0,63211,0.0,-1.956,-0.053,10.305,-0.233,0.04,0.509,26.3,4942,9547,-5655,62.6
2025-03-02T11:41:40.420074,92510,0.0,63211,0.0,-1.87,-0.067,10.305,-0.233,0.039,0.504,26.4,4975,9552,-5610,62.5
2025-03-02T11:41:40.512018,92510,0.0,63211,0.0,-1.884,-0.065,10.319,-0.234,0.037,0.506,26.3,4965,9527,-5655,62.5
2025-03-02T11:41:40.606642,92510,0.0,63211,0.0,-1.93,-0.026,10.242,-0.232,0.039,0.503,26.3,4992,9537,-5645,62.4
2025-03-02T11:41:40.730751,92510,0.0,63211,0.0,-1.906,-0.072,10.259,-0.235,0.037,0.501,26.4,4975,9547,-5665,62.5
